,date,xbtusd,xbtusd_detrend
"1-1",2013-02-20,29.649999999999999,27.989874453250813
"2-1",2013-02-21,29.75,22.701222623539145
"3-1",2013-02-22,30.25,17.956959864775669
"4-1",2013-02-25,30.399999999999999,13.005458469047504
"5-1",2013-02-26,31.100000000000001,8.7450907284417667
"6-1",2013-02-27,30.899999999999999,3.7242289350455771
"7-1",2013-02-28,33.380000000000003,1.5212453809460662
"8-1",2013-03-01,34.5,-1.9054876417696676
"9-1",2013-03-04,36.149999999999999,-4.6675978410144907
"10-1",2013-03-05,40.329999999999998,-4.7667129247012809
"11-1",2013-03-06,41.020000000000003,-8.2244606007429155
"12-1",2013-03-07,42,-11.262468577052296
"13-1",2013-03-08,44.18,-12.972364561542285
"14-1",2013-03-11,48.399999999999999,-12.515776262125755
"15-1",2013-03-12,44.289999999999999,-20.264331386715618
"16-1",2013-03-13,46.920000000000002,-21.149657643224714
"17-1",2013-03-14,47.170000000000002,-24.29338273956597
"18-1",2013-03-15,46.950000000000003,-27.78713438365223
"19-1",2013-03-18,51.600000000000001,-26.29254028339637
"20-1",2013-03-19,59.140000000000001,-21.79122814671129
"21-1",2013-03-20,64.489999999999995,-19.364825681509899
"22-1",2013-03-21,70.849999999999994,-15.814960595704989
"23-1",2013-03-22,69.870000000000005,-19.493260597209513
"24-1",2013-03-25,73.599999999999994,-18.351353393936378
"25-1",2013-03-26,78.5,-15.930866693798379
"26-1",2013-03-27,88.920000000000002,-7.8834282047084514
"27-1",2013-03-28,86.180000000000007,-12.890665634579435
"28-1",2013-03-29,90.5,-10.734206691324232
"29-1",2013-04-01,102,-1.2956790828557558
"30-1",2013-04-02,132,26.743289482913141
"31-1",2013-04-03,131.78999999999999,24.671071298069577
"32-1",2013-04-04,136,27.116038654700688
"33-1",2013-04-05,142.5,31.946563844893575
"34-1",2013-04-08,191.72999999999999,79.601019160735348
"35-1",2013-04-09,234.25,120.63777689431316
"36-1",2013-04-10,181.69,66.685209337714113
"37-1",2013-04-11,99.620000000000005,-16.688311216974654
"38-1",2013-04-12,110,-7.5244124776660755
"39-1",2013-04-15,91,-27.654722152272996
"40-1",2013-04-16,75.599999999999994,-44.100867948708299
"41-1",2013-04-17,91.980000000000004,-28.684477574884852
"42-1",2013-04-18,126.5,4.9528212612844271
"43-1",2013-04-19,118,-4.3505991481133037
"44-1",2013-04-22,127.90000000000001,4.8236334890091257
"45-1",2013-04-23,145.38,21.653891464738706
"46-1",2013-04-24,156.00999999999999,31.708547071162613
"47-1",2013-04-25,129.78,4.9759726003679816
"48-1",2013-04-26,136.80000000000001,11.564540344441951
"49-1",2013-04-29,144.5,18.902622595471584
"50-1",2013-04-30,133.75,7.8585916455440668
"51-1",2013-05-01,118.73999999999999,-7.379180213253548
"52-1",2013-05-02,95.459999999999994,-30.822320688834097
"53-1",2013-05-03,101.72,-24.66245748911048
"54-1",2013-05-06,109.48999999999999,-16.931218321995559
"55-1",2013-05-07,111.01000000000001,-15.390230895402226
"56-1",2013-05-08,111.90000000000001,-14.421122917243295
"57-1",2013-05-09,112.5,-13.685522095431779
"58-1",2013-05-10,114.09999999999999,-11.895056137880502
"59-1",2013-05-13,118.29000000000001,-7.4613527525022931
"60-1",2013-05-14,113,-12.456039647210133
"61-1",2013-05-15,114.2,-10.910744529916769
"62-1",2013-05-16,117.48999999999999,-7.2270951085352522
"63-1",2013-05-17,123.13,-1.1467190909782801
"64-1",2013-05-20,122.40000000000001,-1.3912441851588397
"65-1",2013-05-21,123.09999999999999,-0.16229809898979397
"66-1",2013-05-22,124.2,1.5084914596159535
"67-1",2013-05-23,126.56,4.4794967827456276
"68-1",2013-05-24,132,10.569090162486162
"69-1",2013-05-27,127.81,7.0656438909248749
"70-1",2013-05-28,128.84,8.8175302601487431
"71-1",2013-05-29,130.55000000000001,11.283121562244986
"72-1",2013-05-30,127.98999999999999,9.5107900893006558
"73-1",2013-05-31,127.2,9.5389081334029413
"74-1",2013-06-03,121.66,4.8458479866388444
"75-1",2013-06-04,120.81999999999999,4.8799819410955365
"76-1",2013-06-05,121.5,6.4596822888601793
"77-1",2013-06-06,118.86,4.7433213220198809
"78-1",2013-06-07,110.8,-2.3707286673382413
"79-1",2013-06-10,105.3,-6.9040953871271
"80-1",2013-06-11,108,-3.2184065452595405
"81-1",2013-06-12,108.36,-1.8552898496484573
"82-1",2013-06-13,103,-6.1963730082067627
"83-1",2013-06-14,98.620000000000005,-9.543283728847257
"84-1",2013-06-17,103.22,-3.8976497194829562
"85-1",2013-06-18,109.15000000000001,3.0889013119734159
"86-1",2013-06-19,108,3.0047416576088892
"87-1",2013-06-20,112.51000000000001,8.5882436095106556
"88-1",2013-06-21,108.94,6.0977794597658317
"89-1",2013-06-24,104.56,2.8017215004613547
"90-1",2013-06-25,103.95999999999999,3.2884420236846239
"91-1",2013-06-26,102.98999999999999,3.4063133215224894
"92-1",2013-06-27,97.329999999999998,-1.166292313937717
"93-1",2013-06-28,96.989999999999995,-0.42100259060906353
"94-1",2013-07-01,89.200000000000003,-7.1294452164042781
"95-1",2013-07-02,90,-5.2532478992362996
"96-1",2013-07-03,76.299999999999997,-17.884038347018006
"97-1",2013-07-04,77.480000000000004,-15.643444267662218
"98-1",2013-07-05,69.930000000000007,-22.143093369081981
"99-1",2013-07-08,76,-15.034613359189962
"100-1",2013-07-09,76.879999999999995,-13.129631945899177
"101-1",2013-07-10,87,-1.9997768371225106
"102-1",2013-07-11,99.099999999999994,11.093324259227217
"103-1",2013-07-12,90.900000000000006,3.8680436352371714
"104-1",2013-07-15,98.980000000000004,12.902753582994237
"105-1",2013-07-16,98.950000000000003,13.80582639458585
"106-1",2013-07-17,92,7.7656343620988082
"107-1",2013-07-18,89.030000000000001,5.6805497776205982
"108-1",2013-07-19,92.299999999999997,9.808944933237953